subid,condition,stimulus,hit_minus_fa,group
10,DO_SS,scene,0.714706,YA
10,DO_SS,object,0.911765,YA
10,SO_DS,scene,0.705882,YA
10,SO_DS,object,0.329412,YA
10,SO_SS,scene,0.361765,YA
10,SO_SS,object,0.388235,YA
11,DO_SS,scene,0.561765,YA
11,DO_SS,object,0.632353,YA
11,SO_DS,scene,0.820588,YA
11,SO_DS,object,0.582353,YA
11,SO_SS,scene,0.444118,YA
11,SO_SS,object,0.723529,YA
12,DO_SS,scene,0.655882,YA
12,DO_SS,object,0.823529,YA
12,SO_DS,scene,0.647059,YA
12,SO_DS,object,0.352941,YA
12,SO_SS,scene,0.547059,YA
12,SO_SS,object,0.391176,YA
13,DO_SS,scene,0.470588,YA
13,DO_SS,object,0.95,YA
13,SO_DS,scene,0.752941,YA
13,SO_DS,object,0.523529,YA
13,SO_SS,scene,0.502941,YA
13,SO_SS,object,0.741176,YA
14,DO_SS,scene,0.214706,YA
14,DO_SS,object,0.732353,YA
14,SO_DS,scene,0.861765,YA
14,SO_DS,object,0.714706,YA
14,SO_SS,scene,0.323529,YA
14,SO_SS,object,0.644118,YA
15,DO_SS,scene,0.347059,YA
15,DO_SS,object,1,YA
15,SO_DS,scene,0.585294,YA
15,SO_DS,object,0.338235,YA
15,SO_SS,scene,0.794118,YA
15,SO_SS,object,0.405882,YA
16,DO_SS,scene,0.355882,YA
16,DO_SS,object,0.732353,YA
16,SO_DS,scene,0.661765,YA
16,SO_DS,object,0.15,YA
16,SO_SS,scene,0.158824,YA
16,SO_SS,object,0.423529,YA
17,DO_SS,scene,0.9,YA
17,DO_SS,object,1,YA
17,SO_DS,scene,1,YA
17,SO_DS,object,0.744118,YA
17,SO_SS,scene,0.764706,YA
17,SO_SS,object,0.644118,YA
18,DO_SS,scene,0.682353,YA
18,DO_SS,object,1,YA
18,SO_DS,scene,1,YA
18,SO_DS,object,0.691176,YA
18,SO_SS,scene,0.732353,YA
18,SO_SS,object,0.482353,YA
19,DO_SS,scene,0.261765,YA
19,DO_SS,object,0.85,YA
19,SO_DS,scene,0.641176,YA
19,SO_DS,object,0.682353,YA
19,SO_SS,scene,0.541176,YA
19,SO_SS,object,0.602941,YA
20,DO_SS,scene,0.711765,YA
20,DO_SS,object,0.920588,YA
20,SO_DS,scene,0.891176,YA
20,SO_DS,object,0.526471,YA
20,SO_SS,scene,0.773529,YA
20,SO_SS,object,0.405882,YA
21,DO_SS,scene,0.585294,YA
21,DO_SS,object,0.891176,YA
21,SO_DS,scene,0.811765,YA
21,SO_DS,object,0.426471,YA
21,SO_SS,scene,0.773529,YA
21,SO_SS,object,0.744118,YA
22,DO_SS,scene,0.579545,YA
22,DO_SS,object,1,YA
22,SO_DS,scene,1,YA
22,SO_DS,object,0.744118,YA
22,SO_SS,scene,0.802941,YA
22,SO_SS,object,0.782353,YA
23,DO_SS,scene,0.305882,YA
23,DO_SS,object,0.444118,YA
23,SO_DS,scene,0.467647,YA
23,SO_DS,object,0.432353,YA
23,SO_SS,scene,0.155882,YA
23,SO_SS,object,0.405882,YA
24,DO_SS,scene,0.761765,YA
24,DO_SS,object,0.970588,YA
24,SO_DS,scene,0.882353,YA
24,SO_DS,object,0.870588,YA
24,SO_SS,scene,0.611765,YA
24,SO_SS,object,0.811765,YA
25,DO_SS,scene,0.911765,YA
25,DO_SS,object,0.941176,YA
25,SO_DS,scene,0.882353,YA
25,SO_DS,object,0.744118,YA
25,SO_SS,scene,0.714706,YA
25,SO_SS,object,0.544118,YA
26,DO_SS,scene,0.552941,YA
26,DO_SS,object,0.852941,YA
26,SO_DS,scene,0.852941,YA
26,SO_DS,object,0.685294,YA
26,SO_SS,scene,0.494118,YA
26,SO_SS,object,0.735294,YA
27,DO_SS,scene,0.411765,YA
27,DO_SS,object,0.782353,YA
27,SO_DS,scene,0.573529,YA
27,SO_DS,object,0.055882,YA
27,SO_SS,scene,0.344118,YA
27,SO_SS,object,0.373529,YA
28,DO_SS,scene,0.670588,YA
28,DO_SS,object,0.920588,YA
28,SO_DS,scene,0.861765,YA
28,SO_DS,object,0.761765,YA
28,SO_SS,scene,0.782353,YA
28,SO_SS,object,0.820588,YA
33,DO_SS,scene,0.491176,YA
33,DO_SS,object,0.970588,YA
33,SO_DS,scene,0.891176,YA
33,SO_DS,object,0.720588,YA
33,SO_SS,scene,0.673529,YA
33,SO_SS,object,0.920588,YA
41,DO_SS,scene,0.229412,YA
41,DO_SS,object,0.685294,YA
41,SO_DS,scene,0.370588,YA
41,SO_DS,object,0.438235,YA
41,SO_SS,scene,-0.07647,YA
41,SO_SS,object,0.138235,YA
42,DO_SS,scene,0.461765,YA
42,DO_SS,object,0.832353,YA
42,SO_DS,scene,0.941176,YA
42,SO_DS,object,0.670588,YA
42,SO_SS,scene,0.441176,YA
42,SO_SS,object,0.791176,YA
43,DO_SS,scene,0.402941,YA
43,DO_SS,object,0.861765,YA
43,SO_DS,scene,0.685294,YA
43,SO_DS,object,0.382353,YA
43,SO_SS,scene,0.432353,YA
43,SO_SS,object,0.402941,YA
44,DO_SS,scene,0.358824,YA
44,DO_SS,object,0.794118,YA
44,SO_DS,scene,0.705882,YA
44,SO_DS,object,0.538235,YA
44,SO_SS,scene,0.567647,YA
44,SO_SS,object,0.526471,YA
45,DO_SS,scene,0.602941,YA
45,DO_SS,object,0.882353,YA
45,SO_DS,scene,0.95,YA
45,SO_DS,object,0.644118,YA
45,SO_SS,scene,0.632353,YA
45,SO_SS,object,0.714706,YA
46,DO_SS,scene,0.194118,YA
46,DO_SS,object,0.655882,YA
46,SO_DS,scene,0.852941,YA
46,SO_DS,object,-0.05588,YA
46,SO_SS,scene,0.317647,YA
46,SO_SS,object,0.123529,YA
47,DO_SS,scene,0.541176,YA
47,DO_SS,object,0.882353,YA
47,SO_DS,scene,0.744118,YA
47,SO_DS,object,0.305882,YA
47,SO_SS,scene,0.147059,YA
47,SO_SS,object,0.217647,YA
48,DO_SS,scene,0.623529,YA
48,DO_SS,object,0.832353,YA
48,SO_DS,scene,0.941176,YA
48,SO_DS,object,0.752941,YA
48,SO_SS,scene,0.614706,YA
48,SO_SS,object,0.752941,YA
49,DO_SS,scene,0.25,YA
49,DO_SS,object,0.7,YA
49,SO_DS,scene,0.65,YA
49,SO_DS,object,0.032353,YA
49,SO_SS,scene,0.1,YA
49,SO_SS,object,0.3,YA
50,DO_SS,scene,0.191176,YA
50,DO_SS,object,0.8,YA
50,SO_DS,scene,0.920588,YA
50,SO_DS,object,0.582353,YA
50,SO_SS,scene,0.202941,YA
50,SO_SS,object,0.411765,YA
51,DO_SS,scene,0.45,YA
51,DO_SS,object,0.920588,YA
51,SO_DS,scene,1,YA
51,SO_DS,object,0.861765,YA
51,SO_SS,scene,0.570588,YA
51,SO_SS,object,0.682353,YA
101,DO_SS,scene,0.282353,OA
101,DO_SS,object,0.791176,OA
101,SO_DS,scene,0.661765,OA
101,SO_DS,object,0.091176,OA
101,SO_SS,scene,0.3,OA
101,SO_SS,object,0.020588,OA
102,DO_SS,scene,0.791176,OA
102,DO_SS,object,0.841176,OA
102,SO_DS,scene,0.794118,OA
102,SO_DS,object,0.623529,OA
102,SO_SS,scene,0.573529,OA
102,SO_SS,object,0.823529,OA
103,DO_SS,scene,0.852941,OA
103,DO_SS,object,0.832353,OA
103,SO_DS,scene,0.941176,OA
103,SO_DS,object,0.473529,OA
103,SO_SS,scene,0.597059,OA
103,SO_SS,object,0.417647,OA
104,DO_SS,scene,0.732353,OA
104,DO_SS,object,1,OA
104,SO_DS,scene,0.911765,OA
104,SO_DS,object,0.720588,OA
104,SO_SS,scene,0.597059,OA
104,SO_SS,object,0.711765,OA
105,DO_SS,scene,0.311765,OA
105,DO_SS,object,0.95,OA
105,SO_DS,scene,0.732353,OA
105,SO_DS,object,0.332353,OA
105,SO_SS,scene,0.482353,OA
105,SO_SS,object,0.464706,OA
106,DO_SS,scene,0.341176,OA
106,DO_SS,object,0.920588,OA
106,SO_DS,scene,1,OA
106,SO_DS,object,0.773529,OA
106,SO_SS,scene,0.661765,OA
106,SO_SS,object,0.882353,OA
107,DO_SS,scene,0.402941,OA
107,DO_SS,object,0.941176,OA
107,SO_DS,scene,0.632353,OA
107,SO_DS,object,0.488235,OA
107,SO_SS,scene,0.241176,OA
107,SO_SS,object,0.647059,OA
108,DO_SS,scene,0.511765,OA
108,DO_SS,object,0.741176,OA
108,SO_DS,scene,0.773529,OA
108,SO_DS,object,0.394118,OA
