,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
1,6001,1,spatial,L,R,I,L,1,548.73
2,6001,1,spatial,L,L,C,L,1,363.41
3,6001,1,spatial,R,L,I,R,1,475.01
4,6001,1,spatial,L,L,C,L,1,391.28
5,6001,1,spatial,R,R,C,R,1,697.87
6,6001,1,spatial,L,R,I,L,1,661.15
7,6001,1,spatial,R,R,C,R,1,508.96
8,6001,1,spatial,L,R,I,L,1,526.75
9,6001,1,spatial,R,L,I,R,1,630.35
10,6001,1,spatial,L,R,I,L,1,343.89
11,6001,1,spatial,R,L,I,R,1,533.31
12,6001,1,spatial,R,R,C,R,1,519.78
13,6001,1,spatial,L,L,C,L,1,475.33
14,6001,1,spatial,R,R,C,R,1,571.04
15,6001,1,spatial,L,R,I,L,1,518.33
16,6001,1,spatial,R,L,I,R,1,637.94
17,6001,1,spatial,L,L,C,L,1,413.96
18,6001,1,spatial,L,R,I,L,1,572.33
19,6001,1,spatial,R,R,C,R,1,441.7
20,6001,1,spatial,R,L,I,R,1,490.75
21,6001,1,spatial,L,L,C,L,1,438.13
22,6001,1,spatial,R,L,I,R,1,393.32
23,6001,1,spatial,L,L,C,L,1,403.18
24,6001,1,spatial,R,L,I,R,1,381.98
25,6001,1,spatial,L,R,I,L,1,329.05
26,6001,1,spatial,R,R,C,R,1,425.29
27,6001,1,spatial,L,L,C,L,1,458.32
28,6001,1,spatial,R,R,C,R,1,319.91
29,6001,1,spatial,L,R,I,L,1,360.76
30,6001,1,spatial,R,L,I,R,1,315.84
31,6001,1,spatial,L,L,C,L,1,294.26
32,6001,1,spatial,R,L,I,R,1,280.74
33,6001,1,spatial,R,R,C,R,1,430.78
34,6001,1,spatial,R,L,I,R,1,339.14
35,6001,1,spatial,L,R,I,L,1,481.53
36,6001,1,spatial,R,R,C,R,1,243.71
37,6001,1,spatial,L,R,I,L,1,651.48
38,6001,1,spatial,L,L,C,R,0,396.11
39,6001,1,spatial,L,R,I,R,0,538.5
40,6001,1,spatial,R,R,C,R,1,790.52
41,6001,1,spatial,L,L,C,L,1,387.02
42,6001,1,spatial,R,R,C,R,1,576.38
43,6001,1,spatial,R,L,I,R,1,711.27
44,6001,1,spatial,L,R,I,L,1,479.5
45,6001,1,spatial,R,R,C,R,1,873.51
46,6001,1,spatial,L,L,C,L,1,469.96
47,6001,1,spatial,L,R,I,L,1,536.84
48,6001,1,spatial,R,L,I,R,1,585.98
49,6001,1,spatial,L,L,C,L,1,307.04
50,6001,1,spatial,R,R,C,R,1,348.03
51,6001,1,spatial,R,L,I,R,1,452.94
52,6001,1,spatial,L,R,I,L,1,306.77
53,6001,1,spatial,R,L,I,R,1,324.08
54,6001,1,spatial,L,R,I,L,1,248.23
55,6001,1,spatial,R,R,C,R,1,445.54
56,6001,1,spatial,R,L,I,R,1,410.09
57,6001,1,spatial,L,L,C,L,1,412.25
58,6001,1,spatial,R,R,C,L,0,351.92
59,6001,1,spatial,L,L,C,L,1,1439.46
60,6001,1,spatial,L,R,I,L,1,466.6
61,6001,1,spatial,R,R,C,R,1,499.98
62,6001,1,spatial,L,R,I,L,1,439.76
63,6001,1,spatial,R,L,I,R,1,511.96
64,6001,1,spatial,L,L,C,L,1,459.69
65,6001,1,spatial,R,L,I,R,1,453.91
66,6001,1,spatial,L,L,C,L,1,300.02
67,6001,1,spatial,L,R,I,L,1,403.4
68,6001,1,spatial,L,L,C,L,1,335.15
69,6001,1,spatial,R,R,C,R,1,485.26
70,6001,1,spatial,L,R,I,L,1,333.65
71,6001,1,spatial,L,L,C,L,1,321.92
72,6001,1,spatial,L,R,I,L,1,238.35
73,6001,1,spatial,R,R,C,L,0,164.18
74,6001,1,spatial,L,R,I,L,1,470.49
75,6001,1,spatial,R,L,I,R,1,433.57
76,6001,1,spatial,L,L,C,L,1,474.95
77,6001,1,spatial,L,R,I,L,1,484.9
78,6001,1,spatial,R,R,C,R,1,463.62
79,6001,1,spatial,R,L,I,R,1,582.75
80,6001,1,spatial,R,R,C,R,1,670.86
81,6001,1,spatial,R,L,I,R,1,415.5
82,6001,1,spatial,R,R,C,R,1,441
83,6001,1,spatial,L,R,I,L,1,568.05
84,6001,1,spatial,R,L,I,R,1,423.84
85,6001,1,spatial,R,R,C,R,1,404.31
86,6001,1,spatial,R,L,I,R,1,297.11
87,6001,1,spatial,L,R,I,L,1,517.69
88,6001,1,spatial,R,L,I,R,1,301.35
89,6001,1,spatial,L,R,I,L,1,389.27
90,6001,1,spatial,L,L,C,L,1,477.25
91,6001,1,spatial,R,R,C,R,1,416.97
92,6001,1,spatial,L,R,I,L,1,333.17
93,6001,1,spatial,L,L,C,L,1,577.15
94,6001,1,spatial,R,L,I,R,1,384.39
95,6001,1,spatial,L,L,C,L,1,302.14
96,6001,1,spatial,R,R,C,R,1,358.92
97,6001,1,spatial,L,R,I,L,1,298.65
98,6001,1,spatial,L,L,C,L,1,495.94
99,6001,1,spatial,R,R,C,R,1,576.26
100,6001,1,spatial,L,R,I,L,1,344.29
101,6001,1,spatial,L,L,C,L,1,487.03
102,6001,1,spatial,R,L,I,R,1,637.18
103,6001,1,spatial,L,R,I,L,1,460.03
104,6001,1,spatial,L,L,C,L,1,386.18
105,6001,1,spatial,R,R,C,R,1,450.83
106,6001,1,spatial,L,L,C,L,1,296.89
107,6001,1,spatial,R,L,I,R,1,400.44
108,6001,1,spatial,L,L,C,L,1,309.07
109,6001,1,spatial,R,R,C,R,1,483.01
110,6001,1,spatial,L,R,I,L,1,352.27
111,6001,1,spatial,L,L,C,L,1,455.71
112,6001,1,spatial,L,R,I,L,1,449.97
