participantID,drink,trial,congruency,rt
1,coffee,1,c,331
1,coffee,2,c,402
1,coffee,3,i,731
1,coffee,4,i,788
1,coffee,5,i,639
1,coffee,6,c,256
1,coffee,7,i,755
1,coffee,8,c,245
1,coffee,9,c,354
1,coffee,10,i,623
2,water,1,i,890
2,water,2,i,917
2,water,3,i,1087
2,water,4,c,455
2,water,5,i,1198
2,water,6,c,501
2,water,7,c,667
2,water,8,c,568
2,water,9,i,899
2,water,10,c,601
3,coffee,1,c,270
3,coffee,2,c,50
3,coffee,3,c,351
3,coffee,4,c,432
3,coffee,5,i,758
3,coffee,6,i,642
3,coffee,7,i,712
3,coffee,8,i,788
3,coffee,9,i,678
3,coffee,10,c,444
4,water,1,c,592
4,water,2,c,587
4,water,3,i,972
4,water,4,i,4078
4,water,5,c,652
4,water,6,c,613
4,water,7,i,987
4,water,8,i,1056
4,water,9,c,472
4,water,10,i,1009
